"SP500.Volume","seasonal","trend","remainder"
6476460000,197982092.689043,5593853209.17375,684624698.13721
5296650000,360374479.870991,5631779213.12622,-695503692.997215
5449442500,360374479.870991,5669705217.0787,-580637196.949692
5602235000,360374479.870991,5688800547.52528,-446940027.396276
5755027500,360374479.870991,5707895877.97187,-313242857.842858
5907820000,568094099.609357,5790389205.91803,-450663305.52739
5740710000,568094099.609357,5872882533.8642,-700266633.473557
5746940000,568094099.609357,6104318815.81133,-925472915.420686
8210590400,568094099.609357,6335755097.75846,1306741202.63218
7643493600,660436430.02223,6515706459.11195,467350710.865819
7076396800,660436430.02223,6695657820.46544,-279697450.487673
6509300000,660436430.02223,6896850006.57405,-1047986436.59628
7234489600,660436430.02223,7098042192.68265,-523989022.704881
7483640000,675882738.961629,7192757476.80524,-385000215.766873
7599969600,675882738.961629,7287472760.92784,-363385899.889467
8926480000,675882738.961629,7325459734.92042,925137526.117954
8573749866.67,675882738.961629,7363446708.913,534420418.795376
8221019733.33,681622581.66407,7354394427.33652,185002724.329414
7868289600,681622581.66407,7345342145.76004,-158675127.424107
7583230400,681622581.66407,7285327507.91797,-383719689.582044
7673620000,681622581.66407,7225312870.07591,-233315451.739981
7507249600,631820284.630979,7170467458.01956,-295038142.650538
7331830400,631820284.630979,7115622045.96321,-415611930.594189
7313660266.67,631820284.630979,7059996607.92887,-378156625.889848
7295490133.33,631820284.630979,7004371169.89453,-340701321.195506
7277320000,618049936.165365,6977772932.18091,-318502868.346272
8618329600,618049936.165365,6951174694.46729,1049104969.36735
7287809600,618049936.165365,6972078998.60764,-302319334.773001
7326630400,618049936.165365,6992983302.74799,-284402838.913351
6787089600,544862450.987761,7030214847.19532,-787987698.183081
7152573066.67,544862450.987761,7067446391.64265,-459735775.960414
7518056533.33,544862450.987761,7128865576.55527,-155671494.213034
7883540000,544862450.987761,7190284761.46789,148392787.544347
6156800000,421156588.614107,7242224081.73021,-1506580670.34431
9098449600,421156588.614107,7294163401.99252,1383129609.39337
9033870400,421156588.614107,7325947488.94456,1286766322.44133
7643720000,421156588.614107,7357731575.8966,-135168164.510702
7667736533.33,376730762.695764,7315882390.14755,-24876619.5133142
7691753066.67,376730762.695764,7274033204.39851,40989099.5757294
7715769600,376730762.695764,7181872397.53886,157166439.765372
6767980000,376730762.695764,7089711590.67922,-698462353.374984
7687180000,449342963.241645,6916667416.20326,321169620.555093
6992960000,449342963.241645,6743623241.72731,-200006204.96895
5600210000,449342963.241645,6569686352.29656,-1418819315.53821
5704360000,449342963.241645,6395749462.86582,-1140732426.10747
5808510000,515907241.198309,6282801579.58106,-990198820.779369
5912660000,515907241.198309,6169853696.2963,-773100937.494606
6089100000,515907241.198309,6119828147.64158,-546635388.839893
6034140000,515907241.198309,6069802598.98687,-551569840.185182
7542809600,423505734.674369,6068607120.96305,1050696744.36258
5855640000,423505734.674369,6067411642.93924,-635277377.613605
5973760000,423505734.674369,6063246141.26718,-512991875.94155
6091880000,423505734.674369,6059080639.59513,-390706374.269495
6.21e+09,409709036.314941,6135026301.79698,-334735338.111925
5155580000,409709036.314941,6210971963.99884,-1465101000.31378
5938460000,409709036.314941,6280708414.88257,-751957451.197515
7600710400,409709036.314941,6350444865.76631,840556497.918751
7309255300,403843085.507572,6432667337.64064,472744876.851791
7017800200,403843085.507572,6514889809.51497,99067304.9774628
6726345100,403843085.507572,6584912410.03688,-262410395.544448
6434890000,403843085.507572,6654935010.55879,-623888096.066359
7569840000,422493696.743664,6682066311.06101,465279992.19533
6241100000,422493696.743664,6709197611.56323,-890591308.30689
6598670000,422493696.743664,6738562227.30592,-562385924.049585
7352009600,422493696.743664,6767926843.04862,161589060.207718
7225993066.67,482429146.475944,6794480006.60729,-50916086.4132376
7099976533.33,482429146.475944,6821033170.16597,-203485783.311913
6973960000,482429146.475944,6789565765.94944,-298034912.425381
7436489600,482429146.475944,6758098361.7329,195962091.791152
7327860000,566775962.846226,6696526518.23224,64557518.9215326
6563100000,566775962.846226,6634954674.73158,-638630637.577806
7114440000,566775962.846226,6515244253.96936,32419783.184411
6614113333.33,566775962.846226,6395533833.20714,-348196462.723372
6113786666.67,587691281.754545,6310219257.80075,-784123872.885296
5613460000,587691281.754545,6224904682.39436,-1199135964.1489
6.328e+09,587691281.754545,6148258061.19643,-407949342.950972
6101620000,587691281.754545,6071611439.9985,-557682721.753042
6862540000,516527009.308863,6077480646.91803,268532343.773106
5312170000,516527009.308863,6083349853.83757,-1287706863.14643
5887726666.67,516527009.308863,6120012808.08132,-748813150.720184
6463283333.33,516527009.308863,6156675762.32508,-209919438.303939
7038840000,662536386.185508,6202449784.95123,173853828.863267
6882860000,662536386.185508,6248223807.57738,-27900193.7628832
8555040000,662536386.185508,6272550693.46614,1619952920.34835
9120100000,662536386.185508,6296877579.35491,2160686034.45959
8163280000,638996737.37264,6296476298.01814,1227806964.60922
7492386666.67,638996737.37264,6296075016.68138,557314912.615983
6821493333.33,638996737.37264,6183224326.1676,-727730.210237503
6150600000,638996737.37264,6070373635.65382,-558770373.026457
6871750400,451828658.725166,5966449626.45625,453472114.818584
7091820000,451828658.725166,5862525617.25868,777465724.01615
6134870000,451828658.725166,5729444435.88938,-46403094.6145477
5439720000,451828658.725166,5596363254.52008,-608471913.245246
5527196666.67,459578035.382206,5528480474.58646,-460861843.298668
5614673333.33,459578035.382206,5460597694.65285,-305502396.705051
5702150000,459578035.382206,5436728743.72828,-194156779.110489
6616270000,459578035.382206,5412859792.80372,743832171.814074
8205060000,467881233.91445,5434779183.79301,2302399582.29253
6019840000,467881233.91445,5456698574.78231,95260191.3032417
5155320000,467881233.91445,5530874250.58594,-843435484.50039
5283252500,467881233.91445,5605049926.38957,-789678660.304023
5411185000,401752286.301643,5652359824.34106,-642927110.642704
5539117500,401752286.301643,5699669722.29255,-562304508.594192
5667050000,401752286.301643,5747535578.2198,-482237864.521441
5698800000,401752286.301643,5795401434.14705,-498353720.44869
5738980000,298521415.78603,5824945918.64135,-384487334.42738
6050420000,298521415.78603,5854490403.13565,-102591818.921681
6157093333.33,298521415.78603,5812454725.58566,46117191.9583073
6263766666.67,298521415.78603,5770419048.03567,194826202.848297
6370440000,173109727.102138,5673020823.79465,524309449.103215
5987340000,173109727.102138,5575622599.55362,238607673.344241
5323770000,173109727.102138,5446951654.45169,-296291381.553828
5352890000,173109727.102138,5318280709.34976,-138500436.451899
5277910000,257110738.042483,5211921198.79291,-191121936.835395
5013083333.33,257110738.042483,5105561688.23606,-349589092.948546
4748256666.67,257110738.042483,5027433994.79606,-536288066.168543
4483430000,257110738.042483,4949306301.35606,-722987039.398541
4439950000,223522939.937468,4924672336.02503,-708245275.962493
5379420000,223522939.937468,4900038370.69399,255858689.36854
5500840000,223522939.937468,4916446624.78623,360870435.2763
4528120000,223522939.937468,4932854878.87847,-628257818.81594
4584706666.67,45994428.1113629,4972879692.70333,-434167454.144696
4641293333.33,45994428.1113629,5012904506.5282,-417605601.309558
4697880000,45994428.1113629,5042371165.43917,-390485593.550537
4951200000,45994428.1113629,5071837824.35015,-166632252.461516
5523650000,33094865.3434188,5099749044.28803,390806090.368552
4684010000,33094865.3434188,5127660264.2259,-476745129.569323
5713390000,33094865.3434188,5127980312.17785,552314822.478734
5443573333.33,33094865.3434188,5128300360.12979,282178107.85679
5173756666.67,20171659.1822543,5107341464.42329,46243543.0644512
4903940000,20171659.1822543,5086382568.7168,-202614227.899051
5071020000,20171659.1822543,5062814650.60395,-11966309.7862082
4636720000,20171659.1822544,5039246732.49111,-422698391.673366
4911240000,11527368.6939452,4985707553.0553,-85994921.7492495
6076660000,11527368.6939452,4932168373.6195,1132964257.68656
5455026666.67,11527368.6939452,4832182178.20822,611317119.767839
4833393333.33,11527368.6939452,4732195982.79693,89669981.8391209
4211760000,-39284042.510949,4722257765.57153,-471213723.060576
4627570000,-39284042.510949,4712319548.34612,-45465505.8351669
3919400000,-39284042.510949,4749029076.77209,-790345034.26114
3.931e+09,-39284042.510949,4785738605.19806,-815454562.687114
4126395000,-106352805.497832,4812597059.88213,-579849254.3843
4321790000,-106352805.497832,4839455514.5662,-411312709.068368
4517185000,-106352805.497832,4837494023.72748,-213956218.22965
4712580000,-106352805.497832,4835532532.88876,-16599727.3909311
4673300000,-104434299.07654,4805105122.07868,-27370823.0021439
5721780000,-104434299.07654,4774677711.2686,1051536587.80794
4347170000,-104434299.07654,4719810718.82839,-268206419.751846
3912080000,-104434299.07654,4664943726.38817,-648429427.31163
4107866666.67,-70674670.4823498,4662110151.57807,-483568814.42572
4303653333.33,-70674670.4823498,4659276576.76797,-284948572.955622
4499440000,-70674670.4823498,4721080145.63822,-150965475.155866
4149030000,-70674670.4823498,4782883714.50846,-563179044.026109
5238830000,-30275021.5261219,4854363311.78384,414741709.742287
4898640000,-30275021.5261219,4925842909.05921,3072112.46691036
5141380000,-30275021.5261219,4979132139.65664,192522881.86948
5045303333.33,-30275021.5261219,5032421370.25407,43156984.6020498
4949226666.67,-41111834.6638271,5027732553.23128,-37394051.8974504
4853150000,-41111834.6638271,5023043736.20848,-128781901.544657
5309300000,-41111834.6638271,4973930775.23168,376481059.432149
4634100000,-41111834.6638271,4924817814.25487,-249605979.591045
5761650000,-53161453.3704318,4906247306.55553,908564146.814905
4458300000,-53161453.3704318,4887676798.85618,-376215345.485748
4515963333.33,-53161453.3704318,4885995576.18273,-316870789.4823
4573626666.67,-53161453.3704318,4884314353.50928,-257526233.468851
4631290000,97254154.8391986,4909230977.88309,-375195132.722288
5490350000,97254154.8391986,4934147602.25689,458948242.903907
5178770000,97254154.8391986,4994944702.19311,86571142.9676914
6035180000,97254154.8391986,5055741802.12932,882184043.031476
5139070000,183625354.869625,5116628029.77931,-161183384.648939
5293860000,183625354.869625,5177514257.4293,-67279612.2989292
5448650000,183625354.869625,5227651796.57137,37372848.5590057
5603440000,183625354.869625,5277789335.71344,142025309.41694
5713700000,171064556.873445,5416830645.28591,125804797.840646
7242120000,171064556.873445,5555871954.85838,1515183488.26817
6753380000,171064556.873445,5618223505.37265,964091937.753901
6827089600,171064556.873445,5680575055.88692,975449987.239632
6353419733.33,193482621.95897,5711895523.33033,448041588.040695
5879749866.67,193482621.95897,5743215990.77375,-56948746.0627155
5406080000,193482621.95897,5698617624.22524,-486020246.184213
5773160000,193482621.95897,5654019257.67674,-74341879.6357098
5498170000,332861674.301916,5607141988.1837,-441833662.48562
5250660000,332861674.301916,5560264718.69067,-642466392.992584
4940750000,332861674.301916,5516740391.1456,-908852065.447517
4656690000,332861674.301916,5473216063.60053,-1149387737.90245
4372630000,450399996.168496,5511363149.94688,-1589133146.11538
4088570000,450399996.168496,5549510236.29323,-1911340232.46172
4198970000,450399996.168496,5616277038.35097,-1867707034.51946
4.257e+09,450399996.168496,5683043840.40871,-1876443836.57721
4893160000,367439390.247712,5848146537.6792,-1322425927.92691
5885550000,367439390.247712,6013249234.94969,-495138625.197407
6024516666.67,367439390.247712,6016145507.21331,-359068230.791023
6163483333.33,367439390.247712,6019041779.47693,-222997836.39464
6302450000,288696454.904343,6012632441.73527,1121103.36038971
5768740000,288696454.904343,6006223103.99361,-526179558.897949
5080060000,288696454.904343,5969587647.05005,-1178224101.95439
5785880000,288696454.904343,5932952190.10649,-435768645.010829
5785780000,313552286.887829,5875775485.53829,-403547772.426123
5525373333.33,313552286.887829,5818598780.9701,-606777734.527929
5264966666.67,313552286.887829,5745709917.80211,-794295538.019944
5004560000,313552286.887829,5672821054.63413,-981813341.521958
6862360000,291786778.705398,5514123318.14608,1056449903.14852
5842730000,291786778.705398,5355425581.65804,195517639.636564
4624280000,291786778.705398,5292653779.3518,-960160558.057199
4097370000,291786778.705398,5229881977.04557,-1424298755.75096
4381817500,309978938.652042,5206730762.69524,-1134892201.34729
4666265000,309978938.652042,5183579548.34492,-827293486.996963
4950712500,309978938.652042,5182267248.80529,-541533687.457336
5235160000,309978938.652042,5180954949.26567,-255773887.917709
5202550000,470777478.290735,5192824353.83783,-461051832.12857
5191380000,470777478.290735,5204693758.41,-484091236.700737
4922600000,470777478.290735,5206762602.11648,-754940080.40721
4941603333.33,470777478.290735,5208831445.82295,-738005590.783684
4960606666.67,481217395.110596,5204790006.01177,-725400734.452364
4979610000,481217395.110596,5200748566.20059,-702355961.311184
6185620000,481217395.110596,5204636430.35042,499766174.538989
6793529600,481217395.110596,5208524294.50024,1103787910.38916
6668110000,425085385.797441,5192510768.40336,1050513845.7992
5607970000,425085385.797441,5176497242.30649,6387371.89607239
5277073333.33,425085385.797441,5114480625.12945,-262492677.596889
4946176666.67,425085385.797441,5052464007.95241,-531372727.079851
4615280000,305939271.988561,4985588421.33771,-676247693.326269
5246600000,305939271.988561,4918712834.72301,21947893.2884331
5531930000,305939271.988561,4836702507.58027,389288220.431166
5505610000,305939271.988561,4754692180.43754,444978547.573898
4507090000,222343696.67627,4723598745.66027,-438852442.336536
4247043333.33,222343696.67627,4692505310.88299,-667805674.229262
3986996666.67,222343696.67627,4720766139.02825,-956113169.034519
3726950000,222343696.67627,4749026967.17351,-1244420663.84978
4949900000,203843948.029851,4751853995.26381,-5797943.29366207
5998860000,203843948.029851,4754681023.35412,1040335028.61603
5791450000,203843948.029851,4777823650.59625,809782401.373897
5583240000,203843948.029851,4800966277.83839,578429774.13176
5159930000,205973455.500787,4763884282.1175,190072262.381715
4736620000,205973455.500787,4726802286.39661,-196155741.897394
4313310000,205973455.500787,4609911341.47692,-502574796.977712
5029840000,205973455.500787,4493020396.55724,330846147.941972
4238220000,282176603.001214,4360666080.21724,-404622683.218457
4988400000,282176603.001214,4228311763.87724,477911633.121542
3763780000,282176603.001214,4171529952.26189,-689926555.263107
3745996666.67,282176603.001214,4114748140.64654,-650928076.977757
3728213333.33,294840858.033782,4136491511.21029,-703119035.914072
3710430000,294840858.033782,4158234881.77404,-742645739.807819
4320480000,294840858.033782,4239401952.94105,-213762810.97483
5406420000,294840858.033782,4320569024.10806,791010117.858159
5369780000,262023205.030398,4433054748.80081,674702046.168793
4894740000,262023205.030398,4545540473.49356,87176321.4760427
4802906666.67,262023205.030398,4661197452.68119,-120313991.041592
4711073333.33,262023205.030398,4776854431.86883,-327804303.569226
4619240000,349009438.514988,4838259802.35392,-568029240.868908
5396930000,349009438.514988,4899665172.83901,148255388.646
5616290000,349009438.514988,4997703553.80353,269577007.681482
5192410000,349009438.514988,5095741934.76805,-252341373.283036
4767460000,613013558.479797,5208065781.48006,-1053619339.95986
5299433333.33,613013558.479797,5320389628.19208,-633969853.341873
5831406666.67,613013558.479797,5432171860.42715,-213778752.236949
6363380000,613013558.479797,5543954092.66223,206412348.857976
5337380000,597519074.291979,5635731060.65863,-895870134.950604
6600350000,597519074.291979,5727508028.65502,275322897.052998
5595040000,597519074.291979,5755046813.96003,-757525888.25201
6512420000,597519074.291979,5782585599.26504,132315326.442981
6409160000,365068372.374673,5705777860.47813,338313767.147201
6305900000,365068372.374673,5628970121.69121,311861505.934115
6202640000,365068372.374673,5482695116.52066,354876511.104663
5487500000,365068372.374673,5336420111.35012,-213988483.724791
5635510000,186733925.288604,5154083209.86854,294692864.842854
4848350000,186733925.288604,4971746308.38697,-310130233.675571
4277130000,186733925.288604,4828313039.18777,-737916964.476369
4338096666.67,186733925.288604,4684879769.98856,-533517028.607165
4399063333.33,105437208.395655,4597945351.73059,-304319226.796243
4460030000,105437208.395655,4511010933.47261,-156418141.868269
4394770000,105437208.395655,4480592784.75793,-191259993.153588
4286700000,105437208.395655,4450174636.04325,-268911844.438907
4160250000,104269586.46436,4449460592.2296,-393480178.693954
3792610000,104269586.46436,4448746548.41594,-760406134.880298
4050356666.67,104269586.46436,4433054028.78913,-486966948.583485
4308103333.33,104269586.46436,4417361509.16231,-213527762.296671
4565850000,136336509.361007,4381379545.9504,48133944.6885891
3824070000,136336509.361007,4345397582.73849,-657664092.099501
4293340000,136336509.361007,4311947375.49553,-154943884.856538
4178030000,136336509.361007,4278497168.25257,-236803677.613575
3751230000,152933063.192137,4236815012.21832,-638518075.410456
3776793333.33,152933063.192137,4195132856.18407,-571272586.046206
3802356666.67,152933063.192137,4146060902.59882,-496637299.120956
3827920000,152933063.192137,4096988949.01357,-422002012.205707
3700820000,35813724.7025227,4064415023.32485,-399408748.027372
3036350000,35813724.7025228,4031841097.63613,-1031304822.33865
2699630000,35813724.7025228,4034396919.30599,-1370580644.00851
2362910000,35813724.7025228,4036952740.97586,-1709856465.67838
2873780000,-142870230.56964,4062152412.97165,-1045502182.40201
3384650000,-142870230.56964,4087352084.96743,-559831854.397794
3895520000,-142870230.56964,4147680257.86094,-109290027.291303
4249310000,-142870230.56964,4208008430.75445,184171799.815189
3941340000,-243506717.325725,4311535408.05456,-126688690.728831
4810030000,-243506717.325725,4415062385.35466,638474331.971064
5781140000,-243506717.325725,4431392704.13656,1593254013.18917
5221880000,-243506717.325725,4447723022.91846,1017663694.40727
4662620000,-223130558.106433,4416669954.72233,469080603.384101
4103360000,-223130558.106433,4385616886.52621,-59126328.4197741
4748030000,-223130558.106433,4334174566.61686,636985991.489573
4115410000,-223130558.106433,4282732246.70751,55808311.398921
3996490000,-150736875.273673,4273620985.61785,-126394110.344172
3791090000,-150736875.273673,4264509724.52818,-322682849.254506
4043556666.67,-150736875.273673,4275493001.62253,-81199459.678854
4296023333.33,-150736875.273673,4286476278.71688,160283929.886798
4548490000,-67819017.0201257,4331419097.76687,284889919.253259
5045100000,-67819017.0201257,4376361916.81686,736557100.203267
4829820000,-67819017.0201257,4410627316.24364,487011700.77649
7615070400,-67819017.0201257,4444892715.67041,3237996701.34971
6325890000,-29970107.1693812,4423581836.58092,1932278270.58846
5543040000,-29970107.1693812,4402270957.49144,1170739149.67794
4760190000,-29970107.1693812,4326952699.48375,463207407.685633
3977340000,-29970107.1693812,4251634441.47606,-244324334.306679
3641130000,-42055252.7383543,4214485417.20958,-531300164.471222
3166870000,-42055252.7383543,4177336392.94309,-968411140.204738
1267710000,-42055252.7383543,4144611497.96369,-2834846245.22534
1629882500,-42055252.7383543,4111886602.98429,-2439948850.24593
1992055000,-55664272.4037361,4074711803.06265,-2026992530.65892
2354227500,-55664272.4037361,4037537003.14102,-1627645230.73728
2716400000,-55664272.4037361,3995259612.1889,-1223195339.78516
2491020000,-55664272.4037361,3952982221.23678,-1406297948.83304
2277300000,-14630947.8610388,3924442841.92549,-1632511894.06446
2076990000,-14630947.8610388,3895903462.61421,-1804282514.75317
2555592500,-14630947.8610388,3880542129.55496,-1310318681.69392
3034195000,-14630947.8610388,3865180796.4957,-816354848.634662
3512797500,25609153.6048737,3933204527.56015,-446016181.165023
3991400000,-249069480.266108,4001228258.6246,239241221.64151
2491020000,-42331069.1773962,4059021276.60386,-1525670207.42646
4972660000,-42331069.1773962,4116814294.58312,898176774.594274
5270680000,-42331069.1773962,4177250391.64156,1135760677.53584
4389590000,-42331069.1773962,4237686488.69999,194234580.477404
4344986666.67,56484446.0082264,4242456763.8105,46045456.8512735
4300383333.33,56484446.0082264,4247227038.92101,-3328151.59923506
4255780000,56484446.0082264,4223861949.92966,-24566395.937891
4716160000,56484446.0082264,4200496860.93832,459178693.053453
4170360000,-23585793.2545224,4178468139.54175,15477653.7127724
3915200000,-23585793.2545224,4156439418.14518,-217653624.890657
4758730000,-23585793.2545224,4133506262.4378,648809530.816718
4750255000,-23585793.2545224,4110573106.73043,663267686.524093
4741780000,28624120.8213325,4108443075.9387,604712803.239971
4733305000,28624120.8213325,4106313045.14696,598367834.031704
4724830000,28624120.8213325,4143860110.05646,552345769.122204
4810560000,28624120.8213325,4181407174.96596,600528704.212704
6874289600,111463822.522804,4253198763.28683,2509627014.19037
6208650000,111463822.522804,4324990351.60769,1772195825.8695
5632896666.67,111463822.522804,4403284591.7922,1118148252.355
5057143333.33,111463822.522804,4481578831.9767,464100678.830495
4481390000,77642538.9000186,4551083279.21847,-147335818.118484
4731910000,77642538.9000186,4620587726.46023,33679734.6397514
5319120000,77642538.9000186,4591048486.6942,650428974.405781
5452400000,77642538.9000186,4561509246.92817,813248214.171809
5412850000,18551908.2016217,4520246745.0148,874051346.783581
4967770000,18551908.2016217,4478984243.10142,470233848.696957
4522690000,18551908.2016217,4424628455.55911,79509636.2392635
4077610000,18551908.2016217,4370272668.01681,-311214576.21843
4749540000,25690537.4484744,4271848632.27039,452000830.281139
4285450000,25690537.4484744,4173424596.52396,86334866.0275612
5859690000,25690537.4484744,4152279455.08272,1681720007.46881
6438900000,25690537.4484744,4131134313.64147,2282075148.91005
5655873333.33,105501076.812208,4132736560.33458,1417635696.18322
4872846666.67,105501076.812208,4134338807.02768,633006782.830113
4089820000,105501076.812208,4125964884.67323,-141645961.485435
5114260000,105501076.812208,4117590962.31877,891167960.869018
4251450000,197982092.689043,4105665106.97207,-52197199.6611094
4400870000,197982092.689043,4093739251.62536,109148655.685598
4160680000,197982092.689043,4088870000.6596,-126172093.34864
4140702500,197982092.689043,4084000749.69384,-141280342.382879
4120725000,360374479.870991,4076336639.658,-315986119.528994
4100747500,360374479.870991,4068672529.62217,-328299509.493161
4080770000,360374479.870991,4059096836.88565,-338701316.756643
4259230000,360374479.870991,4049521144.14913,-150665624.020125
3878620000,568094099.609357,4048898213.95081,-738372313.560163
3944280000,568094099.609357,4048275283.75248,-672089383.361836
3.901e+09,568094099.609357,4051733730.2942,-718827829.903561
3857720000,568094099.609357,4055192176.83593,-765566276.445286
3814440000,660436430.02223,4032244589.76253,-878241019.784764
4521050000,660436430.02223,4009297002.68914,-148683432.711369
4168360000,660436430.02223,3969948206.79535,-462024636.817582
4521130000,660436430.02223,3930599410.90157,-69905840.9237957
3945190000,675882738.961629,3877830217.29946,-608522956.261089
3912673333.33,675882738.961629,3825061023.69735,-588270429.328984
3880156666.67,675882738.961629,3776498329.24139,-572224401.533024
3847640000,675882738.961629,3727935634.78543,-556178373.747064
4134680000,681622581.66407,3702626683.95024,-249569265.614312
3951320000,681622581.66407,3677317733.11505,-407620314.779119
3945010000,681622581.66407,3706223105.16623,-442835686.830298
4.133e+09,681622581.66407,3735128477.21741,-283751058.881477
4013560000,631820284.630979,3878387138.36701,-496647422.997993
3894120000,631820284.630979,4021645799.51662,-759346084.1476
3774680000,631820284.630979,4109459105.13142,-966599389.762403
5185570000,631820284.630979,4197272410.74623,356477304.622793
5469120000,618049936.165365,4275114606.73604,575955457.098596
4669060000,618049936.165365,4352956802.72585,-301946738.891215
4928160000,618049936.165365,4360767819.85515,-50657756.0205135
4673476666.67,618049936.165365,4368578836.98445,-313152106.479812
4418793333.33,544862450.987761,4342021292.46622,-468090410.123981
4164110000,544862450.987761,4315463747.94799,-696216198.935754
4369770000,544862450.987761,4293727098.77494,-468819549.762698
4963200000,544862450.987761,4271990449.60188,146347099.410357
4234510000,421156588.614107,4277286981.44682,-463933570.060922
5212410000,421156588.614107,4282583513.29175,508669898.094143
4895500000,421156588.614107,4316401345.75827,157942065.627627
4578590000,421156588.614107,4350219178.22478,-192785766.838888
4261680000,376730762.695764,4388302294.78007,-503353057.475835
4411640000,376730762.695764,4426385411.33536,-391476174.031126
4705750000,376730762.695764,4463163530.35811,-134144293.053875
5668900000,376730762.695764,4499941649.38086,792227587.923376
4708420000,449342963.241645,4516048037.27452,-256971000.516162
4597473333.33,449342963.241645,4532154425.16817,-384024055.079819
4486526666.67,449342963.241645,4494422554.4221,-457238850.993741
4375580000,449342963.241645,4456690683.67602,-530453646.917665
4.085e+09,515907241.198309,4384454031.80571,-815361273.004017
4484340000,515907241.198309,4312217379.9354,-343784621.133705
4006870000,515907241.198309,4246260549.15326,-755297790.351574
3975557500,515907241.198309,4180303718.37113,-720653459.569443
3944245000,423505734.674369,4173539347.91302,-652800082.58739
3912932500,423505734.674369,4166774977.45491,-677348212.129277
3881620000,423505734.674369,4216014683.24446,-757900417.918832
4086180000,423505734.674369,4265254389.03402,-602580123.708386
5101430000,409709036.314941,4340096235.45724,351624728.227816
4726970000,409709036.314941,4414938081.88047,-97677118.1954107
4511570000,409709036.314941,4526382294.87704,-424521331.191977
4543410000,409709036.314941,4637826507.8736,-504125544.188542
4575250000,403843085.507572,4719371662.46785,-547964747.97542
4607090000,403843085.507572,4800916817.0621,-597669902.569667
5403580000,403843085.507572,4858333230.86258,141403683.629847
5760040000,403843085.507572,4915749644.66307,440447269.829362
5995330000,422493696.743664,5064627068.39962,508209234.856714
8108470400,422493696.743664,5213504492.13618,2472472211.12016
7604893600,422493696.743664,5279364793.71559,1903035109.54074
7101316800,422493696.743664,5345225095.29501,1333598007.96133
6597740000,482429146.475944,5350438733.9543,764872119.569755
5316590000,482429146.475944,5355652372.61359,-521491519.089539
5724310000,482429146.475944,5348924817.59469,-107043964.070633
6035780000,482429146.475944,5342197262.57578,211153590.948272
5326060000,566775962.846226,5367616517.99726,-608332480.843484
5433293333.33,566775962.846226,5393035773.41873,-526518402.934957
5540526666.67,566775962.846226,5429969007.42054,-456218303.596763
5647760000,566775962.846226,5466902241.42234,-385918204.26857
7454540000,587691281.754545,5479071593.99841,1387777124.24704
6342310000,587691281.754545,5491240946.57448,263377771.670972
6059410000,587691281.754545,5553215169.49539,-81496451.249939
6048260000,587691281.754545,5615189392.4163,-154620674.170849
5678190000,516527009.308863,5667983441.31358,-506320450.62244
5308120000,516527009.308863,5720777490.21085,-929184499.519714
4938050000,516527009.308863,5750132992.94315,-1328610002.25201
6594720000,516527009.308863,5779488495.67545,298704495.01569
6795940000,662536386.185508,5891952486.83353,241451126.98096
