"Difficulty","seasonal","trend","remainder"
1,7333677647.25939,6850810129.61523,-14184487775.8746
1,7802482749.87307,6822973741.03208,-14625456489.9052
1,8271741349.93705,6795553020.66232,-15067294369.5994
1,8741763677.45667,6768132300.29256,-15509895976.7492
1,8978764061.03292,6740741700.48332,-15719505760.5162
1,8975082369.89297,6713351100.67408,-15688433469.567
1,8971852913.04121,6685470926.40721,-15657323838.4484
1,8969386471.07582,6657590752.14034,-15626977222.2162
1,11674099486.0093,6629154889.8269,-18303254374.8363
1,11301483849.831,6600719027.51347,-17902202876.3445
1,10929319184.7788,6572488473.81523,-17501807657.594
1,10557916822.0436,6544257920.11699,-17102174741.1606
1,10911701811.8361,6517447999.69866,-17429149810.5347
1,10452431805.0191,6490638079.28032,-16943069883.2994
1,9993611506.16617,6464277079.5896,-16457888584.7558
1,9535552797.06102,6437916079.89887,-15973468875.9599
1,10059582318.1376,6413100180.29286,-16472682497.4304
1,9969246976.72032,6388284280.68684,-16357531256.4072
1,9879360080.10496,6362962113.75713,-16242322192.8621
1,9790234060.66813,6337639946.82742,-16127874006.4956
1,10281362935.6792,6311621693.13814,-16592984627.8173
1,10277682685.2618,6285603439.44885,-16563286123.7107
1,10274449616.4843,6259071341.30724,-16533520956.7916
1,10271976712.316,6232539243.16564,-16504515954.4817
1,10286798948.7511,6206745491.33435,-16493544439.0855
1,10283119058.5145,6180951739.50306,-16464070797.0175
1,10279885086.7555,6155667371.1542,-16435552456.9097
1,10277410567.0365,6130383002.80534,-16407793568.8418
1,10283305734.241,6105338352.40604,-16388644085.647
1,10279626204.185,6080293702.00674,-16359919905.1917
1,10276391329.4445,6054371868.52392,-16330763196.9685
1,10273915194.1748,6028450035.04109,-16302365228.2159
1,10282103872.8578,5998779933.17571,-16280883805.0335
1,10278424702.9824,5969109831.31034,-16247534533.2928
1,10275188925.2606,5935393436.22717,-16210582360.4877
1,10272711174.4401,5901677041.14401,-16174388214.5841
1,10283601287.1007,5863705019.89671,-16147306305.9974
1,10279922477.406,5825732998.64941,-16105655475.0554
1,10276685796.7027,5783749940.59367,-16060435736.2964
1,10274206430.3316,5741766882.53793,-16015973311.8695
1,10285950023.224,5696379923.08969,-15982329945.3137
1,10282271573.7099,5650992963.64146,-15933264536.3514
1,10279033990.0252,5602328552.43289,-15881362541.4581
1,10276553008.1033,5553664141.22433,-15830217148.3276
1,10286696273.3854,5501545190.29349,-15788241462.6789
1,10283018184.052,5449426239.36265,-15732444422.4147
1,10279779697.3858,5394014464.39808,-15673794160.7839
1,10277297099.9132,5338602689.43351,-15615899788.3467
1,10287069895.3278,5280889958.77444,-15567959853.1023
1,10283392166.1751,5223177228.11538,-15506569393.2905
1,10280152776.5274,5163908055.11772,-15444060830.6452
1,10277668563.5041,5104638882.12007,-15382307444.6242
1,10286190654.1663,5044461219.37619,-15330651872.5425
1,10282513285.1942,4984283556.63231,-15266796840.8265
1,10279272992.5651,4923713380.78505,-15202986372.3502
1,10276787163.9911,4863143204.93779,-15139930367.9289
1,10285495065.0595,4802305020.84989,-15087800084.9094
1,10281818056.268,4741466836.762,-15023284892.03
1,10278576860.6575,4679640887.07649,-14958217746.734
1,10276089416.5328,4617814937.39099,-14893904352.9237
1,10286964244.9506,4555401727.40578,-14842365971.3564
1,10283287596.3398,4492988517.42058,-14776276112.7604
1,10280045497.7479,4430565576.59709,-14710611073.3449
1,10277556438.0724,4368142635.7736,-14645699072.846
1,10289314066.4479,4306301571.99848,-14595615637.4463
1,10285637778.0177,4244460508.22335,-14530098285.2411
1,10282394776.4443,4183142553.41188,-14465537328.8562
1,10279904101.2181,4121824598.60041,-14401728698.8185
1,10292865632.8334,4060950362.8045,-14353815994.6379
1,10289189704.5839,4000076127.00859,-14289265830.5925
1,10285945800.0291,3939456591.17997,-14225402390.209
1,10283453509.2521,3878837055.35135,-14162290563.6035
1,10297423387.945,3818329230.80725,-14115752617.7522
1,10293747819.8762,3757821406.26316,-14051569225.1393
1,10290503012.3399,3698021091.70498,-13988524103.0449
1,10288009106.0122,3638220777.14679,-13926229882.159
1,10306375658.3356,3579518762.21308,-13885894419.5487
1,10302700450.4475,3520816747.27936,-13823517196.7268
1,10299454739.9297,3463311373.78322,-13762766112.713
1,10296959218.0514,3405806000.28707,-13702765217.3384
1,10318488462.3753,3349539559.37532,-13668028020.7506
1,10314814031.3027,3293273118.46357,-13608087148.7663
1,10311567001.1686,3238447503.53655,-13550014503.7052
1,10309069863.7395,3183621888.60952,-13492691751.349
1,10331148019.5946,3131980600.34795,-13463128618.9425
1,10327474365.3375,3080339312.08639,-13407813676.4239
1,10324226015.5871,3032084936.69664,-13356310951.2837
1,10321727262.6073,2983830561.3069,-13305557822.9142
1,10347679188.1511,2938697012.68274,-13286376199.8339
1,10344006310.7096,2893563464.05858,-13237569773.7682
1,10340756641.3429,2851076981.91469,-13191833622.2576
1,10338256272.8123,2808590499.77081,-13146846771.5831
1,10368180499.0457,2768436960.65249,-13136617458.6982
1,10364508398.4197,2728283421.53418,-13092791818.9539
1,10361257409.4367,2695151567.10209,-13056408975.5387
1,10358755425.3554,2662019712.67,-13020775137.0254
1,10392661933.8215,2632245031.05162,-13024906963.8731
1,10388990610.011,2602470349.43324,-12991460958.4442
1,10385738301.4116,2579494625.31815,-12965232925.7298
1,10383234701.7796,2556518901.20307,-12939753601.9827
1,10420691150.9981,2537452277.53647,-12958143427.5345
1,10417020791.1007,2518385653.86988,-12935406443.9706
1,10413767162.885,2501603337.54914,-12915370499.4341
1,10411261947.7022,2484821021.22841,-12896082967.9307
1,10451144956.3992,2467887409.66115,-12919032365.0603
1,10447475560.4149,2450953798.09389,-12898429357.5088
1,10444220612.5828,2429401767.45094,-12873622379.0338
1,10441713781.8494,2407849736.80798,-12849563517.6574
1,10484853035.8162,2382816650.95937,-12867669685.7755
1,10481184603.745,2357783565.11075,-12838968167.8557
1,10477928336.2966,2326953156.63691,-12804881491.9335
1,10475419890.0124,2296122748.16306,-12771542637.1755
1,10518001613.3938,2258099914.94587,-12776101527.3396
1,10514334145.2357,2220077081.72868,-12734411225.9644
1,10511076558.1709,2179384573.51179,-12690461130.6827
1,10508566432.1059,2138692065.29489,-12647258496.4008
1,10549145009.521,2093932155.73991,-12643077164.2609
1,10545478505.2759,2049172246.18493,-12594650750.4609
1,10542219598.5949,2001808653.04876,-12544028250.6436
1,10539707792.7489,1954445059.9126,-12494152851.6615
1,10582673942.0227,1904423475.30541,-12487097416.3281
1,10579008401.6907,1854401890.69821,-12433410291.3889
1,10575748175.3933,1801057915.76269,-12376806090.156
1,10573234689.7665,1747713940.82716,-12320948629.5936
1,10612483711.548,1690811513.92158,-12303295224.4696
1,10608819135.1291,1633909087.01599,-12242728221.1451
1,10605557589.2154,1578086814.69601,-12183644402.9114
1,10603042423.8077,1522264542.37603,-12125306965.1837
1,10639250300.8691,1464757723.16536,-12104008023.0345
1,10635586688.3633,1407250903.95469,-12042837591.318
1,10632323822.8333,1352163266.72746,-11984487088.5607
1,10629806977.6446,1297075629.50023,-11926882606.1448
1,10672886025.4378,1253702718.08604,-11926588742.5238
1,10669223376.8451,1210329806.67186,-11879553182.517
1,10665959527.4862,1166133928.81902,-11832093455.3052
1,10663440666.7291,1121938050.96617,-11785378716.6953
1,10711644291.8413,967555252.944773,-11679199543.7861
1,10707982607.1618,813172454.923373,-11521155061.0851
1,10704717773.9739,737512165.506859,-11442229938.4808
1,10702196897.6486,661851876.090346,-11364048772.7389
1,10751164882.8843,549918017.295942,-11301082899.1802
1,10747504162.1178,437984158.501538,-11185488319.6193
1,10744238345.101,408390114.369799,-11152628458.4708
1,10741715453.2073,378796070.23806,-11120511522.4454
1,10831214350.1185,286113405.466713,-11117327754.5852
1,10827554593.2651,193430740.695367,-11020985332.9605
1,10824287792.4195,122220417.911825,-10946508209.3313
1,10821762884.9574,51010095.1282839,-10872772979.0857
1,10880904316.3218,-23232332.9747086,-10857671982.3471
1,10877245523.3815,-97474761.077701,-10779770761.3038
1,10873977738.707,-109454872.594959,-10764522865.112
1,10871450815.6766,-121434984.112218,-10750015830.5644
1,10881174755.5698,-136833127.218596,-10744341627.3512
1,10877516926.5426,-152231270.324974,-10725285655.2176
1,10874248158.0391,-169138080.970341,-10705110076.0688
1,10871719219.4404,-186044891.615707,-10685674326.8247
1,10903479173.9165,-772743059.161927,-10130736113.7546
1,10899822308.8023,-1359441226.70815,-9540381081.09417
1,10896552556.47,-2068355410.22565,-8828197145.24435
1,10894021602.3029,-2777269593.74316,-8116752007.55978
1,10937417187.9118,-2782973321.27459,-8154443865.63722
1,10933761286.7107,-2788677048.80602,-8145084236.90472
1,10930490550.5495,-2789544435.49744,-8140946114.05209
1,10927957580.8141,-2790411822.18887,-8137545757.62526
1,10984046839.3445,-2792403446.50093,-8191643391.84357
1,10980391902.0565,-2794395070.813,-8185996830.24352
1,10977120182.0664,-2796647916.71932,-8180472264.3471
1,10974585196.7627,-2798900762.62563,-8175684433.13704
1,11012572414.9181,-2801412794.29989,-8211159619.61819
1,11008918441.5432,-2803924825.97414,-8204993614.56903
1,11005645737.7242,-2805900057.96573,-8199745678.75844
1,11003108736.8521,-2807875289.95732,-8195233445.89477
1,11041092301.5397,-2807929050.89516,-8233163249.64456
1,11037439292.0779,-2807982811.833,-8229456479.24491
1,11034165604.43,-2806678391.72603,-8227487211.70399
1,11031626587.9896,-2805373971.61907,-8226252615.37053
1.18289953431,11139035544.7049,-2804065870.29906,-8334969673.22297
1.18289953431,11135383499.1562,-2802757768.97905,-8332625728.99426
1.18289953431,11132108827.6794,-2798651946.77061,-8333456879.72591
1.18289953431,11129567795.6707,-2794546124.56217,-8335021669.92558
1.18289953431,11233470747.3211,-2692012518.11166,-8541458228.0265
1.18289953431,2262094799.43473,-2589478911.66115,327384113.409321
1.18289953431,2284886021.75854,-2531949294.8975,247063274.321866
1.18289953431,2281199693.39027,-2474419678.13386,193219985.926489
1.18289953431,2278026795.07964,-2381243125.3825,103216331.485755
1.18289953431,2275611473.19091,-2288066572.63114,12455100.623138
1.18289953431,2297355325.82425,-2283009724.8158,-14345599.8255548
1.18289953431,2293668941.02096,-2277952877.00045,-15716062.8376079
1.18289953431,2290494393.24078,-2291434521.88154,940129.823660374
1.30506213159,2288078564.05837,-2304916166.76263,16837604.0093193
1.30506213159,2293851379.59566,-2661243520.6477,367392142.357109
1.30506213159,2290164938.35734,-3017570874.53277,727405937.480496
1.30506213159,2286988741.1076,-3380098611.17722,1093109871.37468
1.30506213159,2284572404.63153,-3742626347.82167,1458053944.4952
1.30506213159,2290816875.75727,-3756092464.6908,1465275590.23859
1.30506213159,2287130378.08393,-3769558581.55993,1482428204.78106
1.30506213159,2283952531.36464,-3770088872.73027,1486136342.6707
1.30506213159,2281535687.59489,-3770619163.90061,1489083477.61078
1.30506213159,2290802209.62643,-3770923982.34997,1480121774.02861
1.30506213159,2287115655.51806,-3771228800.79934,1484113146.58634
1.30506213159,2283936159.32922,-3771503970.01386,1487567811.98971
1.30506213159,2281518808.26581,-3771779139.22839,1490260332.26765
1.34422497077,2291482632.25262,-3771981627.57476,1480498996.66636
1.34422497077,2287796021.70924,-3772184115.92113,1484388095.55612
1.34422497077,2284615424.04927,-3773955065.61138,1489339642.90633
1.34422497077,2282197017.69375,-3775726015.30163,1493528998.9521
1.34422497077,2287641151.70784,-3804485115.74055,1516843965.37693
1.34422497077,2283954484.72943,-3833244216.17947,1549289732.79426
1.34422497077,2280772785.59835,-3977536700.85994,1696763916.60582
1.34422497077,2278353323.95073,-4121829185.54042,1843475862.93392
1.34422497077,976910077.191056,-4184421570.30088,3207511494.45405
1.34422497077,1170044315.89378,-4247013955.06135,3076969640.51179
1.34422497077,1363682477.40774,-4734151828.98832,3370469352.92481
1.81864853615,1558082922.58418,-5221289702.9153,3663206782.14977
1.81864853615,1441958230.31582,-5634546519.14891,4192588290.65174
1.81864853615,1635092412.58352,-6047803335.38252,4412710924.61765
1.81864853615,1828729472.62636,-6855032982.88825,5026303512.08054
1.81864853615,2023128862.51069,-7662262630.39397,5639133769.70193
1.81864853615,4606939505.50012,-7682131353.24002,3075191849.55855
1.81864853615,4260381289.80332,-7702000076.08606,3441618788.10139
1.81864853615,3914324906.84557,-7703268056.63447,3788943151.60755
1.81864853615,3569030899.90832,-7704536037.18287,4135505139.0932
1.81864853615,3938849218.46737,-7705687446.44757,3766838229.79885
2.52773821507,3592290946.33555,-7706838855.71227,4114547911.90445
2.52773821507,3246233461.90668,-7708828200.70632,4462594741.32738
2.52773821507,2900938399.67733,-7710817545.70037,4809879148.55078
2.52773821507,3410989284.50673,-7831781855.83519,4420792573.8562
2.52773821507,3407302335.3532,-7952746165.97,4545443833.14454
2.52773821507,3404115128.86652,-8523982246.6095,5119867120.27072
2.52773821507,3401690390.75837,-9095218327.249,5693527939.01836
2.52773821507,3781622664.67862,-9662252663.26203,5880630001.11115
2.52773821507,3777935659.09007,-10229286999.2751,6451351342.71274
3.78117925203,3774747351.13227,-10248963707.7377,6474216360.38658
3.78117925203,3772321557.73202,-10268640416.2003,6496318862.24942
3.78117925203,3784192606.44035,-10269619892.5042,6485427289.84501
3.78117925203,3780505544.41678,-10270599368.8081,6490093828.17252
3.78117925203,3777316134.98786,-10271085114.8784,6493768983.67174
3.78117925203,3774889286.2955,-10271570860.9487,6496681578.43439
3.78117925203,3781181714.81533,-10271993451.0053,6490811739.97113
3.78117925203,3777494596.35673,-10272416041.0618,6494921448.48629
3.78117925203,3774304085.45669,-10273426914.4327,6499122832.7572
3.78117925203,3771876181.47223,-10274437787.8036,6502561610.11253
3.78117925203,3781505062.45365,-10276707325.8568,6495202267.18438
3.78117925203,3777817887.56003,-10278976863.9101,6501158980.13127
4.53108175007,3774626275.18887,-10283716491.1242,6509090220.46642
4.53108175007,3772197315.91231,-10288456118.3383,6516258806.95708
4.53108175007,3783415588.43967,-10297451821.844,6514036237.93539
4.53108175007,3779728357.11102,-10306447525.3497,6526719172.76971
4.53108175007,3776535643.26875,-10321942929.6723,6545407290.93459
4.53108175007,3774105628.70008,-10337438333.9949,6563332709.82586
4.53108175007,3784607265.54227,-10358006655.6927,6573399394.68148
4.53108175007,3780919977.7786,-10378574977.3905,6597655004.14297
4.53108175007,3777726162.4652,-10406159762.5906,6628433604.65646
4.53108175007,3775295092.60443,-10433744547.7907,6658449459.71732
4.53108175007,3785378370.74749,-10462261284.9518,6676882918.7354
4.53108175007,3781691026.54879,-10490778022.113,6709087000.09524
4.53108175007,3778496109.76428,-10518552527.5025,6740056422.26932
4.53108175007,3776063984.6114,-10546327032.8921,6770263052.81175
4.56516291034,3787144695.74085,-10571220853.6327,6784076162.457
4.56516291034,3783457295.10714,-10596114674.3733,6812657383.83133
4.56516291034,3780261276.8515,-10628085156.0938,6847823883.80743
4.56516291034,3777828096.40652,-10660055637.8142,6882227545.97288
4.56516291034,3787797318.16673,-10710996792.6679,6923199479.06629
4.56516291034,3784109861.098,-10761937947.5215,6977828090.98865
4.56516291034,3780912741.37124,-10799806995.0489,7018894258.24282
4.56516291034,3778478505.63415,-10837676042.5763,7059197541.50733
4.56516291034,3784693270.6588,-10877368041.4366,7092674775.34301
4.56516291034,3781005757.15504,-10917060040.297,7136054287.70709
6.085476906,3777807535.95716,-10969351340.7752,7191543810.90347
6.085476906,3775372244.92797,-11021642641.2533,7246270402.41085
6.085476906,3783161393.69969,-11058190788.1886,7275029400.57436
6.085476906,3779473823.7609,-11094738935.1238,7315265117.44836
6.085476906,3776274501.0919,-11152097974.3416,7375823479.33515
6.085476906,3773838154.77061,-11209457013.5594,7435618864.87424
6.085476906,3785268084.80455,-11257287680.6481,7472019601.92904
6.085476906,3781580458.43074,-11305118347.7368,7523537895.39158
6.085476906,3778380034.29063,-11335111838.051,7556731809.84582
6.085476906,3775942632.67722,-11365105328.3651,7589162701.77335
6.085476906,3785891174.86165,-11615409248.0756,7829518079.29943
7.81979699335,3782203492.05282,-11865713167.7861,8083509683.5531
7.81979699335,3779001966.44159,-12026824858.7068,8247822900.08504
7.81979699335,3776563509.53608,-12187936549.6275,8411373047.91124
7.81979699335,4047954478.68677,-12508009505.2748,8460055034.40783
7.81979699335,4044266739.44292,-12828082460.9221,8783815729.29896
7.81979699335,4041064112.36057,-12851970489.4596,8810906384.91879
7.81979699335,4038624600.16296,-12875858517.997,8837233925.65387
7.81979699335,4308923672.9067,-12876250563.2224,8567326898.13553
7.81979699335,4305235877.22782,-12876642608.4478,8571406739.0398
7.81979699335,4302032148.67435,-12877142156.0125,8575110015.158
11.4643158055,4299591581.18463,-12877641703.5773,8578050133.85695
11.4643158055,4310672958.06821,-12877952307.2283,8567279360.62441
11.4643158055,4306985105.95431,-12878262910.8793,8571277816.38935
11.4643158055,4303780275.92972,-12878666076.2548,8574885811.78943
11.4643158055,4301338653.14789,-12879069241.6303,8577730599.94673
11.4643158055,4316368697.1105,-12879591432.0753,8563222746.42909
11.4643158055,4312680788.56157,-12880113622.5202,8567432845.42298
11.4643158055,4309474857.06586,-12880636547.4684,8571161701.8669
11.4643158055,4307032178.99193,-12881159472.4166,8574127304.88903
11.4643158055,4308094082.87275,-12682163965.3551,8374069893.94671
11.4643158055,4304406409.29979,-12483168458.2936,8178762060.45817
11.4643158055,4301199084.92197,-7420460097.39605,3119261023.9384
12.8491831478,4298755351.55594,-2357751736.49847,-1941003602.20829
12.8491831478,4311305459.55251,2694241358.8603,-7005546805.56363
12.8491831478,4307618020.95551,7746234454.21908,-12053852462.3254
12.8491831478,4304409303.69559,7954217518.84152,-12258626809.6879
12.8491831478,4301964515.03745,8162200583.46395,-12464165085.6522
12.8491831478,4343927401.50173,8159606011.6356,-12503533400.2882
12.8491831478,4340240197.8807,8157011439.80724,-12497251624.8388
12.8491831478,4337030087.73867,8152807171.24746,-12489837246.1369
